COMP	Juice	Well	Day	ABV	DomSP	DomSP_Percent	DF	CR_Count	HU_Count	MP_Count	SC_Count	TD_Count	Total	CR	HU	MP	SC	TD
7	GEW	C1	7	0	HU	96	NA	0	124	0	1	0	125	0	0.992	0	0.008	0
7	GEW	D1	7	0	MP	96	NA	0	0	4	23	0	27	0	0	0.148148148	0.851851852	0
7	GEW	E1	7	0	SC	96	NA	0	41	0	5	0	46	0	0.891304348	0	0.108695652	0
7	GEW	F1	7	0	TD	96	NA	0	33	0	57	0	90	0	0.366666667	0	0.633333333	0
7	GEW	B3	7	2	CR	96	NA	0	107	0	9	0	116	0	0.922413793	0	0.077586207	0
7	GEW	C3	7	2	HU	96	NA	0	71	0	2	0	73	0	0.97260274	0	0.02739726	0
7	GEW	D3	7	2	MP	96	NA	0	62	1	14	0	77	0	0.805194805	0.012987013	0.181818182	0
7	GEW	E3	7	2	SC	96	NA	0	73	0	5	0	78	0	0.935897436	0	0.064102564	0
7	GEW	F3	7	2	TD	96	NA	0	72	0	15	0	87	0	0.827586207	0	0.172413793	0
7	GEW	B5	7	4	CR	96	NA	0	103	0	5	0	108	0	0.953703704	0	0.046296296	0
7	GEW	C5	7	4	HU	96	NA	0	52	0	3	0	55	0	0.945454545	0	0.054545455	0
7	GEW	D5	7	4	MP	96	NA	0	48	0	7	0	55	0	0.872727273	0	0.127272727	0
7	GEW	E5	7	4	SC	96	NA	0	41	0	4	0	45	0	0.911111111	0	0.088888889	0
7	GEW	F5	7	4	TD	96	NA	0	60	0	6	0	66	0	0.909090909	0	0.090909091	0
7	MER	B7	7	0	CR	96	NA	0	114	0	0	0	114	0	1	0	0	0
7	MER	C7	7	0	HU	96	NA	0	71	0	0	0	71	0	1	0	0	0
7	MER	D7	7	0	MP	96	NA	0	0	0	42	0	42	0	0	0	1	0
7	MER	E7	7	0	SC	96	NA	0	118	0	2	0	120	0	0.983333333	0	0.016666667	0
7	MER	F7	7	0	TD	96	NA	0	90	0	1	0	91	0	0.989010989	0	0.010989011	0
7	MER	B9	7	2	CR	96	NA	0	91	0	1	0	92	0	0.989130435	0	0.010869565	0
7	MER	C9	7	2	HU	96	NA	0	91	0	0	0	91	0	1	0	0	0
7	MER	D9	7	2	MP	96	NA	0	45	0	27	0	72	0	0.625	0	0.375	0
7	MER	E9	7	2	SC	96	NA	0	125	0	5	0	130	0	0.961538462	0	0.038461538	0
7	MER	F9	7	2	TD	96	NA	0	124	0	5	0	129	0	0.96124031	0	0.03875969	0
7	MER	B11	7	4	CR	96	NA	0	101	0	20	0	121	0	0.834710744	0	0.165289256	0
7	MER	C11	7	4	HU	96	NA	0	114	0	3	0	117	0	0.974358974	0	0.025641026	0
7	MER	D11	7	4	MP	96	NA	0	74	0	12	0	86	0	0.860465116	0	0.139534884	0
7	MER	E11	7	4	SC	96	NA	0	117	0	9	0	126	0	0.928571429	0	0.071428571	0
7	MER	F11	7	4	TD	96	NA	0	110	0	3	0	113	0	0.973451327	0	0.026548673	0
6	GEW	A1	7	0	CR	96	NA	NA	NA	NA	NA	NA	NA	0	0.932	0	0.068	0
6	GEW	A2	7	0	CR	96	NA	NA	NA	NA	NA	NA	NA	0	0.828	0	0.172	0
6	GEW	A3	7	1	CR	96	NA	NA	NA	NA	NA	NA	NA	0	0.746	0	0.254	0
6	GEW	A4	7	1	CR	96	NA	NA	NA	NA	NA	NA	NA	0	0.821	0	0.179	0
6	GEW	A5	7	2	CR	96	NA	NA	NA	NA	NA	NA	NA	0	0.707	0	0.293	0
6	GEW	A6	7	2	CR	96	NA	NA	NA	NA	NA	NA	NA	0	0.515	0	0.485	0
6	GEW	A7	7	3	CR	96	NA	NA	NA	NA	NA	NA	NA	0	0.771	0	0.229	0
6	GEW	A8	7	3	CR	96	NA	NA	NA	NA	NA	NA	NA	0	0.5	0	0.5	0
6	GEW	A9	7	4	CR	96	NA	NA	NA	NA	NA	NA	NA	0	0.091	0	0.909	0
6	GEW	A10	7	4	CR	96	NA	NA	NA	NA	NA	NA	NA	0	0.05	0	0.95	0
6	GEW	A11	7	5	CR	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6	GEW	A12	7	5	CR	96	NA	NA	NA	NA	NA	NA	NA	0	0.05	0	0.95	0
6	GEW	B1	7	0	HU	96	NA	NA	NA	NA	NA	NA	NA	0	0.797	0	0.203	0
6	GEW	B2	7	0	HU	96	NA	NA	NA	NA	NA	NA	NA	0	0.707	0	0.293	0
6	GEW	B3	7	1	HU	96	NA	NA	NA	NA	NA	NA	NA	0	0.678	0	0.322	0
6	GEW	B4	7	1	HU	96	NA	NA	NA	NA	NA	NA	NA	0	0.68	0	0.32	0
6	GEW	B5	7	2	HU	96	NA	NA	NA	NA	NA	NA	NA	0	0.559	0	0.441	0
6	GEW	B6	7	2	HU	96	NA	NA	NA	NA	NA	NA	NA	0	0.435	0	0.565	0
6	GEW	B7	7	3	HU	96	NA	NA	NA	NA	NA	NA	NA	0	0.25	0	0.75	0
6	GEW	B8	7	3	HU	96	NA	NA	NA	NA	NA	NA	NA	0	0.321	0	0.679	0
6	GEW	B9	7	4	HU	96	NA	NA	NA	NA	NA	NA	NA	0.025	0.025	0	0.95	0
6	GEW	B10	7	4	HU	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6	GEW	B11	7	5	HU	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6	GEW	B12	7	5	HU	96	NA	NA	NA	NA	NA	NA	NA	0	0.05	0	0.95	0
6	GEW	C1	7	0	MP	96	NA	NA	NA	NA	NA	NA	NA	0	0	0.273	0.614	0.114
6	GEW	C2	7	0	MP	96	NA	NA	NA	NA	NA	NA	NA	0	0.049	0.22	0.732	0
6	GEW	C3	7	1	MP	96	NA	NA	NA	NA	NA	NA	NA	0	0	0.043	0.957	0
6	GEW	C4	7	1	MP	96	NA	NA	NA	NA	NA	NA	NA	0.017	0	0.067	0.833	0.083
6	GEW	C5	7	2	MP	96	NA	NA	NA	NA	NA	NA	NA	0	0.087	0.109	0.761	0.043
6	GEW	C6	7	2	MP	96	NA	NA	NA	NA	NA	NA	NA	0.024	0	0	0.951	0.024
6	GEW	C7	7	3	MP	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.949	0.051
6	GEW	C8	7	3	MP	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6	GEW	C9	7	4	MP	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6	GEW	C10	7	4	MP	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6	GEW	C11	7	5	MP	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6	GEW	C12	7	5	MP	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6	GEW	D1	7	0	SC	96	NA	NA	NA	NA	NA	NA	NA	0	0.524	0	0.476	0
6	GEW	D2	7	0	SC	96	NA	NA	NA	NA	NA	NA	NA	0	0.5	0	0.5	0
6	GEW	D3	7	1	SC	96	NA	NA	NA	NA	NA	NA	NA	0	0.357	0	0.643	0
6	GEW	D4	7	1	SC	96	NA	NA	NA	NA	NA	NA	NA	0	0.654	0	0.346	0
6	GEW	D5	7	2	SC	96	NA	NA	NA	NA	NA	NA	NA	0	0.433	0	0.567	0
6	GEW	D6	7	2	SC	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6	GEW	D7	7	3	SC	96	NA	NA	NA	NA	NA	NA	NA	0	0.021	0	0.979	0
6	GEW	D8	7	3	SC	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6	GEW	D9	7	4	SC	96	NA	NA	NA	NA	NA	NA	NA	0	0	0.018	0.982	0
6	GEW	D10	7	4	SC	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6	GEW	D11	7	5	SC	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6	GEW	D12	7	5	SC	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6	GEW	E1	7	0	TD	96	NA	NA	NA	NA	NA	NA	NA	0.387	0	0.022	0	0.591
6	GEW	E2	7	0	TD	96	NA	NA	NA	NA	NA	NA	NA	0.015	0	0	0	0.985
6	GEW	E3	7	1	TD	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1
6	GEW	E4	7	1	TD	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1
6	GEW	E5	7	2	TD	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1
6	GEW	E6	7	2	TD	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1
6	GEW	E7	7	3	TD	96	NA	NA	NA	NA	NA	NA	NA	0.017	0	0	0.78	0.203
6	GEW	E8	7	3	TD	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.98	0.02
6	GEW	E9	7	4	TD	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6	GEW	E10	7	4	TD	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6	GEW	E11	7	5	TD	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1
6	GEW	E12	7	5	TD	96	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1
6B	GEW	F1	7	0	TD	99.6	NA	NA	NA	NA	NA	NA	NA	0.374	0	0	0	0.626
6B	GEW	F2	7	0	TD	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1
6B	GEW	F3	7	1	TD	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1
6B	GEW	F4	7	1	TD	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1
6B	GEW	F5	7	2	TD	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1
6B	GEW	F6	7	2	TD	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1
6B	GEW	F7	7	3	TD	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.019	0.981
6B	GEW	F8	7	3	TD	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.976	0.024
6B	GEW	F9	7	4	TD	99.6	NA	NA	NA	NA	NA	NA	NA	0.019	0	0	0.981	0
6B	GEW	F10	7	4	TD	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6B	GEW	F11	7	5	TD	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6B	GEW	F12	7	5	TD	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6B	GEW	G1	7	0	MP	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0.811	0.189	0
6B	GEW	G2	7	0	MP	99.6	NA	NA	NA	NA	NA	NA	NA	0.031	0	0.594	0.375	0
6B	GEW	G3	7	1	MP	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0.353	0.647	0
6B	GEW	G4	7	1	MP	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0.233	0.767	0
6B	GEW	G5	7	2	MP	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0.536	0.464	0
6B	GEW	G6	7	2	MP	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0.185	0.815	0
6B	GEW	G7	7	3	MP	99.6	NA	NA	NA	NA	NA	NA	NA	0	0.043	0	0.936	0.021
6B	GEW	G8	7	3	MP	99.6	NA	NA	NA	NA	NA	NA	NA	0	0.025	0	0.975	0
6B	GEW	G9	7	4	MP	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6B	GEW	G10	7	4	MP	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6B	GEW	G11	7	5	MP	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
6B	GEW	G12	7	5	MP	99.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0
